:START_ID,:END_ID,type:TYPE
Abd_Allah_ibn_Hasan_ibn_Ali,Fatima_bint_Hasan,RELATIVE
Abd_Allah_ibn_Hasan_ibn_Ali,Talha_ibn_Hasan,RELATIVE
Abd_Allah_ibn_Hudhafa,Khunays_ibn_Hudhafa,RELATIVE
Abd_Allah_ibn_Muhammad,Fatima,RELATIVE
Abd_Allah_ibn_Muhammad,Ibrahim_ibn_Muhammad,RELATIVE
Abd_Allah_ibn_Muhammad,Qasim_ibn_Muhammad,RELATIVE
Abd_Allah_ibn_Muhammad,Ruqayya_bint_Muhammad,RELATIVE
Abd_Allah_ibn_Muhammad,Umm_Kulthum_bint_Muhammad,RELATIVE
Abd_Allah_ibn_Muhammad,Zainab_bint_Muhammad,RELATIVE
Abd_Allah_ibn_Uthman,Rashidun,KNOWNFOR
Abd_Allah_ibn_Uthman,Abd_Allah_ibn_Muhammad,RELATIVE
Abd_Allah_ibn_Uthman,Amr_ibn_Uthman,RELATIVE
Abd_Allah_ibn_Uthman,Arwa_bint_Kurayz,RELATIVE
Abd_Allah_ibn_Uthman,Fatima,RELATIVE
Abd_Allah_ibn_Uthman,Ibrahim_ibn_Muhammad,RELATIVE
Abd_Allah_ibn_Uthman,Khadija_bint_Khuwaylid,RELATIVE
Abd_Allah_ibn_Uthman,Qasim_ibn_Muhammad,RELATIVE
Abd_Allah_ibn_Uthman,Sa'id_ibn_Uthman,RELATIVE
Abd_Allah_ibn_Uthman,Umm_Kulthum_bint_Muhammad,RELATIVE
Abd_Allah_ibn_Uthman,Zainab_bint_Muhammad,RELATIVE
Abd_Shams_ibn_Abd_Manaf,Umayya_ibn_Abd_Shams,CHILD
Abd_as-Salam_al-Qadiri,Mohammed_al-Qadiri,RELATIVE
Abdallah_bin_Laden,Najwa_Ghanem,PARENT
Abdallah_bin_Laden,Hamida_al-Attas,RELATIVE
Abdallah_bin_Laden,Hamza_bin_Laden,RELATIVE
Abdallah_bin_Laden,Mohammed_bin_Awad_bin_Laden,RELATIVE
Abdallah_bin_Laden,Omar_bin_Laden,RELATIVE
Abdallah_ibn_Muhammad_al-Khaqani,Ubayd_Allah_ibn_Yahya_ibn_Khaqan,RELATIVE
Abdel_Aziz_al-Muqrin,Khaled_Ali_Hajj,PREDECESSOR
Abdel_Aziz_al-Muqrin,Saleh_al-Oufi,SUCCESSOR
Abdel_Mohsin_Al-Qattan,Omar_al-Qattan,CHILD
Abdelaziz_Bougja,Rugby_Africa,KNOWNFOR
Abdelhamid_Abaaoud,Junaid_Hussain,RDF-SCHEMA#SEEALSO
Abdolfattah_Soltani,International_Bar_Association,AWARD
Abdon_Ignatius_Perera,City_and_Guilds_of_London_Institute,EDUCATION
Abdon_Ignatius_Perera,John_Pringle_Appleby,PREDECESSOR
Abdul_Ali_Khan,Abdul_Ghaffar_Khan,RELATIVE
Abdul_Bari_Khan,Eisenhower_Fellowships,AWARD
Abdul_Gaffar_Chowdhury,Asad_Chowdhury,RELATIVE
Abdul_Ghaffar_Khan,Amnesty_International,AWARD
Abdul_Ghaffar_Khan,Abdul_Ali_Khan,CHILD
Abdul_Hai_Kakkar,Radio_Mashaal,EMPLOYER
Abdul_Hai_Kakkar,Malala_Yousafzai,KNOWNFOR
Abdul_Hamid_Khan_Yusufzai,Nowsher_Ali_Khan_Yusufzai,RELATIVE
Abdul_Kadar_Khatri,Ismail_Sulemanji_Khatri,PARENT
Abdul_Karim_Ghaznavi,Begum_Rokeya,RELATIVE
Abdul_Latif_Galadari,Suhail_Galadari,RELATIVE
Abdul_Razzak_Yaqoob,Salman_Iqbal,RELATIVE
Abdul_Samad_Khan_Achakzai,Hamid_Khan_Achakzai,CHILD
Abdul_Sattar_Abu_Risha,Ahmed_Abu_Risha,RELATIVE
Abdul_Sattar_Edhi,Bilquis_Edhi,SPOUSE
Abdulaziz_bin_Turki_Al_Saud_(born_1986),Al_Waleed_bin_Talal_Al_Saud,RELATIVE
Abdulhadi_al-Khawaja,Maryam_al-Khawaja,CHILD
Abdulla_Al_Ghurair,Saif_Ahmad_Al_Ghurair,RELATIVE
Abdulla_Al_Mandous,World_Meteorological_Organization,OCCUPATION
Abdulla_Muaz,Mariyam_Azza,SPOUSE
Abdullah_Abdurahman,Zainunnisa_Gool,CHILD
Abdullah_Al-Salloum,American_Academy_of_Financial_Management,ALMAMATER
Abdullah_Eksioglu,Elvin_Eksioglu,SPOUSE
Abdullah_Haroon,Zeenat_Haroon_Rashid,CHILD
Abdullah_Khadr,Ahmed_Khadr,PARENT
Abdullah_Khadr,Khadr_family,PARENT
